_time,Type,metric,value
2025-01-31T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-01T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-02T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-03T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-04T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-05T00:00:00.000+0100,tps,anti-spoofing,100
2025-02-06T00:00:00.000+0100,tps,anti-spoofing,10
2025-02-07T00:00:00.000+0100,tps,anti-spoofing,7
2025-02-08T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-09T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-10T00:00:00.000+0100,tps,anti-spoofing,80
2025-02-11T00:00:00.000+0100,tps,anti-spoofing,58
2025-02-12T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-13T00:00:00.000+0100,tps,anti-spoofing,40
2025-02-14T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-15T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-16T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-17T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-18T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-19T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-20T00:00:00.000+0100,tps,anti-spoofing,2
2025-02-21T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-22T00:00:00.000+0100,tps,anti-spoofing,4
2025-02-23T00:00:00.000+0100,tps,anti-spoofing,0
2025-02-24T00:00:00.000+0100,tps,anti-spoofing,14
2025-02-25T00:00:00.000+0100,tps,anti-spoofing,8
2025-02-26T00:00:00.000+0100,tps,anti-spoofing,2
2025-02-27T00:00:00.000+0100,tps,anti-spoofing,55
2025-02-28T00:00:00.000+0100,tps,anti-spoofing,35
2025-03-01T00:00:00.000+0100,tps,anti-spoofing,5
2025-03-02T00:00:00.000+0100,tps,anti-spoofing,16
2025-03-03T00:00:00.000+0100,tps,anti-spoofing,15
2025-01-31T00:00:00.000+0100,tps,call-notifications-nokia,17
2025-02-01T00:00:00.000+0100,tps,call-notifications-nokia,39697
2025-02-02T00:00:00.000+0100,tps,call-notifications-nokia,12426
2025-02-03T00:00:00.000+0100,tps,call-notifications-nokia,124756
2025-02-04T00:00:00.000+0100,tps,call-notifications-nokia,134731
2025-02-05T00:00:00.000+0100,tps,call-notifications-nokia,139298
2025-02-06T00:00:00.000+0100,tps,call-notifications-nokia,137509
2025-02-07T00:00:00.000+0100,tps,call-notifications-nokia,114471
2025-02-08T00:00:00.000+0100,tps,call-notifications-nokia,45255
2025-02-09T00:00:00.000+0100,tps,call-notifications-nokia,11327
2025-02-10T00:00:00.000+0100,tps,call-notifications-nokia,106861
2025-02-11T00:00:00.000+0100,tps,call-notifications-nokia,107769
2025-02-12T00:00:00.000+0100,tps,call-notifications-nokia,102665
2025-02-13T00:00:00.000+0100,tps,call-notifications-nokia,121677
2025-02-14T00:00:00.000+0100,tps,call-notifications-nokia,113055
2025-02-15T00:00:00.000+0100,tps,call-notifications-nokia,54116
2025-02-16T00:00:00.000+0100,tps,call-notifications-nokia,12276
2025-02-17T00:00:00.000+0100,tps,call-notifications-nokia,113995
2025-02-18T00:00:00.000+0100,tps,call-notifications-nokia,132576
2025-02-19T00:00:00.000+0100,tps,call-notifications-nokia,138094
2025-02-20T00:00:00.000+0100,tps,call-notifications-nokia,133932
2025-02-21T00:00:00.000+0100,tps,call-notifications-nokia,119003
2025-02-22T00:00:00.000+0100,tps,call-notifications-nokia,57594
2025-02-23T00:00:00.000+0100,tps,call-notifications-nokia,8945
2025-02-24T00:00:00.000+0100,tps,call-notifications-nokia,124681
2025-02-25T00:00:00.000+0100,tps,call-notifications-nokia,119106
2025-02-26T00:00:00.000+0100,tps,call-notifications-nokia,125088
