"_time","anti-spoofing","call-notifications-nokia","callnotification-whitelist",callstatus,"dynamic-bandwidth-es","encrypted-network-id","location-extension","network-authentication",roaming,"roaming-service-configuration",OTHER
"2025-01-31T00:00:00.000+0100",0,17,0,8,0,0,0,0,0,2,0
"2025-02-01T00:00:00.000+0100",0,39697,0,1003,2,0,0,0,1,10,0
"2025-02-02T00:00:00.000+0100",0,12426,0,1419,16,0,0,0,0,4,0
"2025-02-03T00:00:00.000+0100",0,124756,42,1613,15,2,3,2,0,18,2
"2025-02-04T00:00:00.000+0100",0,134731,2,1366,4,6,11,2,0,15,2
"2025-02-05T00:00:00.000+0100",100,139298,42,1450,5,3,3,2,0,14,2
"2025-02-06T00:00:00.000+0100",10,137509,43,1472,10,2,6,2,0,13,2
"2025-02-07T00:00:00.000+0100",7,114471,2,1627,5,2,3,2,0,28,2
"2025-02-08T00:00:00.000+0100",0,45255,0,1485,5,0,0,0,0,13,0
"2025-02-09T00:00:00.000+0100",0,11327,0,1265,6,0,0,0,1,30,0
"2025-02-10T00:00:00.000+0100",80,106861,2,1454,10,2,3,2,0,63,2
"2025-02-11T00:00:00.000+0100",58,107769,2,1223,3,2,8,2,0,1137,2
"2025-02-12T00:00:00.000+0100",0,102665,2,1303,10,2,3,19,28,35,2
"2025-02-13T00:00:00.000+0100",40,121677,44,1329,14,4,6,18,6,62,4
"2025-02-14T00:00:00.000+0100",0,113055,42,1656,16,2,3,3,4,43,2
"2025-02-15T00:00:00.000+0100",0,54116,0,1411,8,0,0,0,0,30,0
"2025-02-16T00:00:00.000+0100",0,12276,0,1141,6,0,0,0,0,23,0
"2025-02-17T00:00:00.000+0100",0,113995,4,1330,13,2,3,2,5,24,2
"2025-02-18T00:00:00.000+0100",0,132576,43,1345,19,2,3,4,4,12,2
"2025-02-19T00:00:00.000+0100",0,138094,2,1312,10,2,3,4,4,37,2
"2025-02-20T00:00:00.000+0100",2,133932,0,1409,7,0,0,5,0,20,0
"2025-02-21T00:00:00.000+0100",0,119003,43,1567,9,2,23,11,4,22,0
"2025-02-22T00:00:00.000+0100",4,57594,0,1362,11,0,0,0,0,27,0
"2025-02-23T00:00:00.000+0100",0,8945,0,1103,15,0,0,0,0,17,0
"2025-02-24T00:00:00.000+0100",14,124681,42,1330,9,2,3,8,4,23,2
"2025-02-25T00:00:00.000+0100",8,119106,2,1440,14,2,3,2,5,30,2
"2025-02-26T00:00:00.000+0100",2,125088,44,1447,6,3,3,2,4,21,2
"2025-02-27T00:00:00.000+0100",55,131819,42,1544,5,3,3,2,4,19,2
"2025-02-28T00:00:00.000+0100",35,111944,45,2282,10,6,6,4,8,33,4
"2025-03-01T00:00:00.000+0100",5,53206,0,1596,4,0,0,0,1,32,0
"2025-03-02T00:00:00.000+0100",16,6983,0,1186,7,0,0,0,0,24,0
"2025-03-03T00:00:00.000+0100",15,53151,42,698,15,6,3,2,4,23,2
